"","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"160","WITHDEP6","|","t2","",2.408,0.037,64.563,0,2.335,2.482
"161","WITHDEP7","|","t1","",1.185,0.015,79.079,0,1.156,1.215
"162","WITHDEP7","|","t2","",2.436,0.038,63.417,0,2.361,2.512
"163","WITHDEP8","|","t1","",1.513,0.018,84.797,0,1.478,1.548
"164","WITHDEP8","|","t2","",2.685,0.051,52.773,0,2.585,2.785
"165","SOMATIC1","|","t1","",0.989,0.014,71.646,0,0.962,1.017
"166","SOMATIC1","|","t2","",2.462,0.039,62.357,0,2.384,2.539
"167","SOMATIC2","|","t1","",1.167,0.015,78.515,0,1.138,1.196
"168","SOMATIC2","|","t2","",2.07,0.027,76.859,0,2.017,2.123
"169","SOMATIC3","|","t1","",1.68,0.02,84.537,0,1.641,1.719
"170","SOMATIC3","|","t2","",2.902,0.067,43.482,0,2.771,3.033
"171","SOMATIC4","|","t1","",1.634,0.019,84.81,0,1.597,1.672
"172","SOMATIC4","|","t2","",2.628,0.048,55.268,0,2.534,2.721
"173","SOMATIC5","|","t1","",1.035,0.014,73.635,0,1.007,1.063
"174","SOMATIC5","|","t2","",2.28,0.033,69.638,0,2.216,2.344
"175","SOMATIC6","|","t1","",0.609,0.012,49.418,0,0.585,0.633
"176","SOMATIC6","|","t2","",2.081,0.027,76.526,0,2.028,2.134
"177","SOMATIC7","|","t1","",1.179,0.015,78.897,0,1.15,1.209
"178","SOMATIC7","|","t2","",2.48,0.04,61.606,0,2.401,2.558
"179","SOMATIC8","|","t1","",1.747,0.021,83.878,0,1.706,1.788
"180","SOMATIC8","|","t2","",2.453,0.039,62.719,0,2.376,2.53
"181","SOMATIC9","|","t1","",1.03,0.014,73.423,0,1.002,1.057
"182","SOMATIC9","|","t2","",2.037,0.026,77.833,0,1.986,2.088
"183","SOMATIC10","|","t1","",0.772,0.013,60.09,0,0.747,0.797
"184","SOMATIC10","|","t2","",2.121,0.028,75.252,0,2.066,2.177
"185","SOMATIC11","|","t1","",1.674,0.02,84.582,0,1.635,1.713
"186","SOMATIC11","|","t2","",2.916,0.068,42.874,0,2.783,3.05
"187","SOCIAL1","|","t1","",0.949,0.014,69.76,0,0.923,0.976
"188","SOCIAL1","|","t2","",2.022,0.026,78.256,0,1.971,2.073
"189","SOCIAL2","|","t1","",1.157,0.015,78.181,0,1.128,1.186
"190","SOCIAL2","|","t2","",2.212,0.031,72.162,0,2.152,2.272
"191","SOCIAL3","|","t1","",1.231,0.015,80.382,0,1.201,1.261
"192","SOCIAL3","|","t2","",2.498,0.041,60.816,0,2.418,2.579
"193","SOCIAL4","|","t1","",0.724,0.013,57.127,0,0.699,0.749
"194","SOCIAL4","|","t2","",1.878,0.023,81.747,0,1.833,1.923
"195","SOCIAL5","|","t1","",1.598,0.019,84.919,0,1.562,1.635
"196","SOCIAL5","|","t2","",2.648,0.049,54.377,0,2.553,2.744
"197","SOCIAL6","|","t1","",1.062,0.014,74.731,0,1.034,1.09
"198","SOCIAL6","|","t2","",2.102,0.028,75.881,0,2.047,2.156
"199","SOCIAL7","|","t1","",1.08,0.014,75.467,0,1.052,1.109
"200","SOCIAL7","|","t2","",2.161,0.029,73.933,0,2.104,2.218
"201","SOCIAL8","|","t1","",1.338,0.016,82.803,0,1.307,1.37
"202","SOCIAL8","|","t2","",2.475,0.04,61.798,0,2.397,2.554
"203","SOCIAL9","|","t1","",1.192,0.015,79.273,0,1.162,1.221
"204","SOCIAL9","|","t2","",2.179,0.03,73.322,0,2.121,2.237
"205","SOCIAL10","|","t1","",0.947,0.014,69.647,0,0.92,0.974
"206","SOCIAL10","|","t2","",2.125,0.028,75.122,0,2.07,2.181
"207","SOCIAL11","|","t1","",1.287,0.016,81.758,0,1.256,1.318
"208","SOCIAL11","|","t2","",2.006,0.025,78.699,0,1.956,2.056
"209","THOUGHT1","|","t1","",0.655,0.012,52.613,0,0.631,0.68
"210","THOUGHT1","|","t2","",1.721,0.02,84.166,0,1.681,1.762
"211","THOUGHT2","|","t1","",2.432,0.038,63.586,0,2.357,2.507
"212","THOUGHT2","|","t2","",3.338,0.124,26.869,0,3.095,3.582
"213","THOUGHT3","|","t1","",2.247,0.032,70.869,0,2.185,2.309
"214","THOUGHT3","|","t2","",3.287,0.115,28.6,0,3.062,3.512
"215","THOUGHT4","|","t1","",1.269,0.016,81.35,0,1.239,1.3
"216","THOUGHT4","|","t2","",2.123,0.028,75.187,0,2.068,2.179
"217","THOUGHT5","|","t1","",0.73,0.013,57.527,0,0.706,0.755
"218","THOUGHT5","|","t2","",1.725,0.021,84.127,0,1.685,1.765
"219","THOUGHT6","|","t1","",2.361,0.036,66.474,0,2.292,2.431
"220","THOUGHT6","|","t2","",3.141,0.093,33.917,0,2.959,3.322
"221","THOUGHT7","|","t1","",2.19,0.03,72.921,0,2.131,2.249
"222","THOUGHT7","|","t2","",3.02,0.078,38.634,0,2.867,3.173
"223","THOUGHT8","|","t1","",1.485,0.018,84.633,0,1.45,1.519
"224","THOUGHT8","|","t2","",2.289,0.033,69.31,0,2.224,2.354
"225","THOUGHT9","|","t1","",2.328,0.034,67.782,0,2.261,2.396
"226","THOUGHT9","|","t2","",3.287,0.115,28.6,0,3.062,3.512
"227","THOUGHT10","|","t1","",1.322,0.016,82.503,0,1.291,1.354
"228","THOUGHT10","|","t2","",2.14,0.029,74.649,0,2.084,2.196
"229","THOUGHT11","|","t1","",0.977,0.014,71.08,0,0.95,1.004
"230","THOUGHT11","|","t2","",1.877,0.023,81.772,0,1.832,1.922
"231","THOUGHT12","|","t1","",1.733,0.021,84.045,0,1.692,1.773
"232","THOUGHT12","|","t2","",2.726,0.053,50.993,0,2.621,2.831
"233","THOUGHT13","|","t1","",1.487,0.018,84.646,0,1.452,1.521
"234","THOUGHT13","|","t2","",2.677,0.05,53.107,0,2.579,2.776
"235","THOUGHT14","|","t1","",0.878,0.013,66.134,0,0.852,0.904
"236","THOUGHT14","|","t2","",2.077,0.027,76.638,0,2.024,2.13
"237","THOUGHT15","|","t1","",1.075,0.014,75.262,0,1.047,1.103
"238","THOUGHT15","|","t2","",2.049,0.026,77.488,0,1.997,2.101
"239","ATTENT1","|","t1","",0.783,0.013,60.743,0,0.758,0.808
"240","ATTENT1","|","t2","",1.964,0.025,79.807,0,1.915,2.012
"241","ATTENT2","|","t1","",0.244,0.012,20.933,0,0.221,0.266
"242","ATTENT2","|","t2","",1.597,0.019,84.921,0,1.56,1.634
"243","ATTENT3","|","t1","",0.697,0.013,55.413,0,0.673,0.722
"244","ATTENT3","|","t2","",2.012,0.026,78.525,0,1.962,2.063
"245","ATTENT4","|","t1","",0.281,0.012,24.098,0,0.258,0.304
"246","ATTENT4","|","t2","",1.383,0.017,83.534,0,1.35,1.415
"247","ATTENT5","|","t1","",0.474,0.012,39.5,0,0.45,0.497
"248","ATTENT5","|","t2","",1.474,0.017,84.556,0,1.44,1.508
"249","ATTENT6","|","t1","",1.547,0.018,84.909,0,1.511,1.582
"250","ATTENT6","|","t2","",2.445,0.039,63.072,0,2.369,2.521
"251","ATTENT7","|","t1","",0.682,0.013,54.412,0,0.658,0.707
"252","ATTENT7","|","t2","",1.825,0.022,82.735,0,1.782,1.869
"253","ATTENT8","|","t1","",0.682,0.013,54.395,0,0.657,0.707
"254","ATTENT8","|","t2","",1.727,0.021,84.107,0,1.687,1.767
"255","ATTENT9","|","t1","",1.092,0.014,75.917,0,1.064,1.12
"256","ATTENT9","|","t2","",2.047,0.026,77.538,0,1.995,2.099
"257","ATTENT10","|","t1","",0.205,0.012,17.636,0,0.182,0.227
"258","ATTENT10","|","t2","",1.268,0.016,81.328,0,1.238,1.299
"259","ATTENT11","|","t1","",1.341,0.016,82.86,0,1.31,1.373
"260","ATTENT11","|","t2","",2.379,0.036,65.77,0,2.308,2.45
"261","RULE_BR1","|","t1","",3.113,0.089,34.987,0,2.938,3.287
"262","RULE_BR1","|","t2","",3.4,0.137,24.867,0,3.132,3.668
"263","RULE_BR2","|","t1","",1.105,0.014,76.391,0,1.077,1.133
"264","RULE_BR2","|","t2","",2.113,0.028,75.509,0,2.059,2.168
"265","RULE_BR3","|","t1","",0.683,0.013,54.447,0,0.658,0.707
"266","RULE_BR3","|","t2","",2.051,0.026,77.437,0,1.999,2.103
"267","RULE_BR4","|","t1","",1.415,0.017,83.966,0,1.382,1.448
"268","RULE_BR4","|","t2","",2.602,0.046,56.384,0,2.511,2.692
"269","RULE_BR5","|","t1","",0.639,0.012,51.533,0,0.615,0.664
"270","RULE_BR5","|","t2","",2.022,0.026,78.256,0,1.971,2.073
"271","RULE_BR6","|","t1","",0.852,0.013,64.716,0,0.826,0.878
