"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"117","ANXDEP2","|","t2",2.077,0.027,76.638,0,2.024,2.13
"118","ANXDEP3","|","t1",1.711,0.02,84.268,0,1.672,1.751
"119","ANXDEP3","|","t2",2.677,0.05,53.107,0,2.579,2.776
"120","ANXDEP4","|","t1",1.373,0.016,83.393,0,1.341,1.406
"121","ANXDEP4","|","t2",2.498,0.041,60.816,0,2.418,2.579
"122","ANXDEP5","|","t1",0.602,0.012,48.937,0,0.578,0.626
"123","ANXDEP5","|","t2",1.752,0.021,83.818,0,1.711,1.793
"124","ANXDEP6","|","t1",1.123,0.015,77.027,0,1.094,1.151
"125","ANXDEP6","|","t2",2.28,0.033,69.638,0,2.216,2.344
"126","ANXDEP7","|","t1",1.154,0.015,78.086,0,1.125,1.183
"127","ANXDEP7","|","t2",2.351,0.035,66.88,0,2.282,2.42
"128","ANXDEP8","|","t1",0.839,0.013,63.993,0,0.813,0.865
"129","ANXDEP8","|","t2",1.977,0.025,79.47,0,1.928,2.026
"130","ANXDEP9","|","t1",0.789,0.013,61.121,0,0.764,0.814
"131","ANXDEP9","|","t2",1.954,0.024,80.056,0,1.906,2.001
"132","ANXDEP10","|","t1",1.511,0.018,84.788,0,1.476,1.546
"133","ANXDEP10","|","t2",2.533,0.043,59.326,0,2.45,2.617
"134","ANXDEP11","|","t1",0.174,0.012,15.069,0,0.152,0.197
"135","ANXDEP11","|","t2",1.53,0.018,84.864,0,1.495,1.566
"136","ANXDEP12","|","t1",2.016,0.026,78.436,0,1.965,2.066
"137","ANXDEP12","|","t2",3.244,0.108,30.131,0,3.033,3.455
"138","ANXDEP13","|","t1",0.438,0.012,36.746,0,0.415,0.461
"139","ANXDEP13","|","t2",1.721,0.02,84.166,0,1.681,1.762
"140","WITHDEP1","|","t1",1.385,0.017,83.574,0,1.353,1.418
"141","WITHDEP1","|","t2",2.372,0.036,66.056,0,2.301,2.442
"142","WITHDEP2","|","t1",0.974,0.014,70.922,0,0.947,1.001
"143","WITHDEP2","|","t2",2.127,0.028,75.055,0,2.072,2.183
"144","WITHDEP3","|","t1",1.326,0.016,82.563,0,1.294,1.357
"145","WITHDEP3","|","t2",2.523,0.042,59.767,0,2.44,2.606
"146","WITHDEP4","|","t1",1.074,0.014,75.233,0,1.046,1.102
"147","WITHDEP4","|","t2",2.229,0.031,71.533,0,2.168,2.29
"148","WITHDEP5","|","t1",0.784,0.013,60.795,0,0.758,0.809
"149","WITHDEP5","|","t2",2.009,0.026,78.612,0,1.959,2.059
"150","WITHDEP6","|","t1",1.493,0.018,84.687,0,1.459,1.528
"151","WITHDEP6","|","t2",2.408,0.037,64.563,0,2.335,2.482
"152","WITHDEP7","|","t1",1.185,0.015,79.079,0,1.156,1.215
"153","WITHDEP7","|","t2",2.436,0.038,63.417,0,2.361,2.512
"154","WITHDEP8","|","t1",1.513,0.018,84.797,0,1.478,1.548
"155","WITHDEP8","|","t2",2.685,0.051,52.773,0,2.585,2.785
"156","SOMATIC1","|","t1",0.989,0.014,71.646,0,0.962,1.017
"157","SOMATIC1","|","t2",2.462,0.039,62.357,0,2.384,2.539
"158","SOMATIC2","|","t1",1.167,0.015,78.515,0,1.138,1.196
"159","SOMATIC2","|","t2",2.07,0.027,76.859,0,2.017,2.123
"160","SOMATIC3","|","t1",1.68,0.02,84.537,0,1.641,1.719
"161","SOMATIC3","|","t2",2.902,0.067,43.482,0,2.771,3.033
"162","SOMATIC4","|","t1",1.634,0.019,84.81,0,1.597,1.672
"163","SOMATIC4","|","t2",2.628,0.048,55.268,0,2.534,2.721
"164","SOMATIC5","|","t1",1.035,0.014,73.635,0,1.007,1.063
"165","SOMATIC5","|","t2",2.28,0.033,69.638,0,2.216,2.344
"166","SOMATIC6","|","t1",0.609,0.012,49.418,0,0.585,0.633
"167","SOMATIC6","|","t2",2.081,0.027,76.526,0,2.028,2.134
"168","SOMATIC7","|","t1",1.179,0.015,78.897,0,1.15,1.209
